"international_plan","total_day_minutes","total_intl_minutes","number_customer_service_calls","total_intl_calls","churn"
"1","no",265.1,10,1,3,"no"
"2","no",161.6,13.7,1,3,"no"
"3","no",243.4,12.2,0,5,"no"
"4","yes",299.4,6.6,2,7,"no"
"5","yes",166.7,10.1,3,3,"no"
"6","yes",223.4,6.3,0,6,"no"
"7","no",218.2,7.5,3,7,"no"
"8","yes",157,7.1,0,6,"no"
"9","no",184.5,8.7,1,4,"no"
"10","yes",258.6,11.2,0,5,"no"
"11","no",129.1,12.7,4,6,"yes"
"12","no",187.7,9.1,0,5,"no"
"13","no",128.8,11.2,1,2,"no"
"14","no",156.6,12.3,3,5,"no"
"15","no",120.7,13.1,4,6,"no"
"16","no",332.9,5.4,4,9,"yes"
"17","no",196.4,13.8,1,4,"no"
"18","no",190.7,8.1,3,3,"no"
"19","no",189.7,10,1,5,"no"
"20","no",224.4,13,1,2,"no"
"21","no",155.1,10.6,0,4,"no"
"22","no",62.4,5.7,5,6,"yes"
"23","no",183,9.5,0,19,"no"
"24","no",110.4,7.7,2,6,"no"
"25","no",81.1,10.3,0,2,"no"
"26","no",124.3,15.5,3,5,"no"
"27","no",213,9.5,0,3,"no"
"28","no",134.3,14.7,3,4,"no"
"29","no",190,6.3,0,6,"no"
"30","no",119.3,11.1,1,1,"no"
"31","no",84.8,14.2,2,6,"no"
"32","no",226.1,10.3,1,5,"no"
"33","no",212,12.6,3,10,"no"
"34","no",249.6,11.8,1,3,"yes"
"35","no",176.8,8.3,0,4,"no"
"36","no",220,14.7,3,6,"no"
"37","no",146.3,14.5,0,6,"no"
"38","no",130.8,10,1,5,"no"
"39","yes",203.9,10.5,3,6,"no"
"40","no",140.4,11.1,1,9,"no"
"41","no",126.3,9.4,3,2,"no"
"42","yes",173.1,14.6,0,15,"yes"
"43","no",124.8,10,2,4,"no"
"44","no",85.8,9.2,3,4,"no"
"45","no",154,3.5,1,3,"no"
"46","no",120.9,8.5,2,5,"no"
"47","no",211.3,13.2,3,5,"no"
"48","no",187,7.4,2,5,"no"
"49","no",159.1,8.8,5,3,"yes"
"50","no",133.2,11,1,3,"no"
"51","no",191.9,7.8,3,5,"no"
"52","no",220.6,6.8,1,3,"no"
"53","no",186.1,11.4,2,6,"no"
"54","no",160.2,9.3,2,5,"no"
"55","no",151,9.7,5,3,"yes"
"56","no",175.5,10.2,1,3,"no"
"57","no",126.9,8,1,2,"no"
"58","no",198.4,5.8,3,3,"yes"
"59","no",148.8,12.1,3,3,"no"
"60","no",229.3,12,1,8,"no"
"61","no",192.1,11.4,1,4,"no"
"62","no",268.6,11.6,2,3,"no"
"63","no",193.7,14.6,2,3,"no"
"64","no",180.7,12.6,3,3,"no"
"65","no",131.2,8.2,2,6,"no"
"66","no",148.1,6.2,2,5,"no"
"67","yes",251.5,9.3,0,4,"no"
"68","yes",125.2,8.3,0,8,"no"
"69","no",211.6,7.8,1,1,"no"
"70","no",178.9,13.8,4,3,"yes"
"71","no",241.8,11.8,3,7,"no"
"72","no",224.9,12.1,0,2,"no"
"73","no",248.6,8,3,4,"no"
"74","no",203.4,7.3,1,4,"no"
"75","no",235.8,12,0,3,"no"
"76","no",157.1,6.1,1,2,"no"
"77","no",300.3,11.7,0,4,"yes"
"78","no",61.6,8.2,4,7,"yes"
"79","no",214.1,8.2,2,3,"no"
"80","no",170.2,15,1,2,"no"
"81","no",201.1,13.2,1,2,"no"
"82","yes",215.4,12.6,3,5,"no"
"83","no",165.6,11,3,2,"no"
"84","no",249.5,9.8,1,4,"no"
"85","no",210.6,12.4,2,1,"yes"
"86","no",179.3,8.6,0,7,"no"
"87","no",157.9,8,4,5,"yes"
"88","no",214.3,12,1,2,"no"
"89","no",154.1,10.9,2,9,"no"
"90","no",237.9,13.9,1,4,"yes"
"91","no",143.9,11.1,1,2,"no"
"92","no",203.4,8.9,0,4,"yes"
"93","no",124.3,7.9,1,9,"no"
"94","no",252.9,9.5,3,7,"no"
"95","no",179.1,10.6,3,7,"no"
"96","no",278.4,9.8,1,5,"no"
"97","no",160.1,13,0,4,"no"
"98","no",198.2,8.7,4,3,"no"
"99","no",212.1,5.3,1,5,"yes"
"100","no",251.8,9.8,2,7,"yes"
